"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000112290",282.242096519914,-0.0272360792630541,0.111815691469247,-0.243580117469871,0.807556028519335,0.867325297825264,"WASF1","8936","WASP family member 1"
"ENSG00000114854",1.64758967614497,0.344459374889771,1.41429380208266,0.243555740951793,0.807574909710958,0.867325297825264,"TNNC1","7134","troponin C1, slow skeletal and cardiac type"
"ENSG00000132879",215.991808974041,-0.0309694523785874,0.12731401379411,-0.24325250187046,0.807809797381522,0.867514140180902,"FBXO44","93611","F-box protein 44"
"ENSG00000132874",0.798680752135175,0.468371094393915,1.92940030460651,0.242754753005721,0.808195389035527,0.867737923178767,"SLC14A2","8170","solute carrier family 14 member 2"
"ENSG00000204577",0.798680752135175,0.468371094393915,1.92940030460651,0.242754753005721,0.808195389035527,0.867737923178767,"LILRB3","11025","leukocyte immunoglobulin like receptor B3"
"ENSG00000268163",0.798680752135175,0.468371094393915,1.92940030460651,0.242754753005721,0.808195389035527,0.867737923178767,NA,NA,NA
"ENSG00000152404",158.342513966491,-0.0358242573548798,0.147785515652518,-0.242407093798772,0.808464738214245,0.867919099378809,"CWF19L2","143884","CWF19 like cell cycle control factor 2"
"ENSG00000183723",337.897263726104,0.02512570128895,0.103660541647786,0.242384429885783,0.808482297882888,0.867919099378809,"CMTM4","146223","CKLF like MARVEL transmembrane domain containing 4"
"ENSG00000170561",16.0888387561049,0.108619299235298,0.44941447800928,0.241690698787536,0.809019837227242,0.868432693377288,"IRX2","153572","iroquois homeobox 2"
"ENSG00000188763",40.6862494108339,0.0665416119109851,0.276179632163894,0.24093598571924,0.809604730970602,0.868997040622398,"FZD9","8326","frizzled class receptor 9"
"ENSG00000176915",1469.12259980599,-0.0133320908220031,0.0553699551151649,-0.240782041348479,0.80972404911673,0.868998454803202,"ANKLE2","23141","ankyrin repeat and LEM domain containing 2"
"ENSG00000135314",35.9217571804612,0.0723854897910418,0.30062711483999,0.240781640170978,0.809724360064413,0.868998454803202,"KHDC1","80759","KH domain containing 1"
"ENSG00000157613",5084.30398784532,0.0114767195488878,0.0477500213305506,0.240350040253176,0.810058905171993,0.869286163715146,"CREB3L1","90993","cAMP responsive element binding protein 3 like 1"
"ENSG00000085978",464.785301616376,-0.020957330496646,0.0872193277727678,-0.240283100452758,0.810110795184503,0.869286163715146,"ATG16L1","55054","autophagy related 16 like 1"
"ENSG00000185250",3.51395021978889,0.226787754485029,0.944767906046838,0.240045997576241,0.810294597951634,0.869364447626408,"PPIL6","285755","peptidylprolyl isomerase like 6"
"ENSG00000162746",30.1280663262085,-0.0798871329062343,0.332812708106361,-0.240036305586937,0.810302111429597,0.869364447626408,"FCRLB","127943","Fc receptor like B"
"ENSG00000172350",5.82084867354454,0.172005856550037,0.719300899396051,0.239129211008159,0.811005391627661,0.870055444607488,"ABCG4","64137","ATP binding cassette subfamily G member 4"
"ENSG00000180855",21.8244151015331,0.0897312785488168,0.375559150540527,0.23892715280581,0.811162070325252,0.87010784976782,"ZNF443","10224","zinc finger protein 443"
"ENSG00000184185",9.17699147058562,-0.13861004565998,0.580290743473186,-0.238863099608248,0.811211739631238,0.87010784976782,"KCNJ12","3768","potassium inwardly rectifying channel subfamily J member 12"
"ENSG00000189195",10.1243614369499,-0.133024063107442,0.556965759715531,-0.238837057372043,0.811231933997282,0.87010784976782,"BTBD8","284697","BTB domain containing 8"
"ENSG00000162639",10.8383918218878,-0.126895991187069,0.531630927129548,-0.238691890767572,0.811344505262385,0.870165056749977,"HENMT1","113802","HEN methyltransferase 1"
"ENSG00000135245",107.596425128013,0.0423819986130586,0.177624232032109,0.23860482394878,0.811412024191087,0.870173940383053,"HILPDA","29923","hypoxia inducible lipid droplet associated"
"ENSG00000163481",424.944902348165,-0.0218084739911256,0.0916451498319161,-0.237966483017638,0.811907090207645,0.870641299010899,"RNF25","64320","ring finger protein 25"
"ENSG00000165275",90.6133061165948,0.0460855837082553,0.193730067087305,0.237885550762168,0.811969862684129,0.870645057140865,"TRMT10B","158234","tRNA methyltransferase 10B"
"ENSG00000106636",3730.1971843932,0.0107416981261581,0.045180208786227,0.23775229054348,0.812073224279535,0.870692333746906,"YKT6","10652","YKT6 vesicular SNARE protein"
"ENSG00000183914",0.846719588213003,0.466345133864865,1.96564135535069,0.237248332507567,0.812464142522525,0.870984328516084,"DNAH2","146754","dynein axonemal heavy chain 2"
"ENSG00000242221",0.846719588213003,0.466345133864865,1.96564135535069,0.237248332507567,0.812464142522525,0.870984328516084,"PSG2","5670","pregnancy specific beta-1-glycoprotein 2"
"ENSG00000135835",63.3290128370772,-0.0531685836890255,0.224229786212128,-0.237116507076033,0.812566406701551,0.871030393640235,"KIAA1614","57710","KIAA1614"
"ENSG00000158290",1737.59340364262,0.0127936073301707,0.0539887944086897,0.236967827681508,0.812681749254841,0.871090470379687,"CUL4B","8450","cullin 4B"
"ENSG00000125730",16.6425051618201,0.106727434867278,0.45104127334784,0.236624542306509,0.812948078824202,0.871312365236212,"C3","718","complement C3"
"ENSG00000134516",19.8837070853416,-0.0919765182124656,0.389502243935295,-0.236138609326587,0.813325115032614,0.871652873701692,"DOCK2","1794","dedicator of cytokinesis 2"
"ENSG00000143368",1235.79618926267,-0.0145374424369474,0.061716321689513,-0.235552638896457,0.813779828001562,0.872076573777571,"SF3B4","10262","splicing factor 3b subunit 4"
"ENSG00000100314",3.20636282943525,0.240633509469478,1.02259108807177,0.235317432624241,0.813962365696701,0.872208560222083,"CABP7","164633","calcium binding protein 7"
